"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Speed Index"
"09/09/2014","20:48:48","","http://nwtn.ca/nagw_demo/index-optimized_responsive_lazy.html","922","389","","3752","185623","2","4","8","8","0","0","0","0","0","1096","","","","1752","","","","","0","","","2","0","922","","","1","6","0","-1","100","-1","100","-1","-1","100","2689","43489","2","4","5","5","0","0","0","0","-1","","","-1","","","","389","200","150135","0","","","0","0","0","1","","76","","Newton Beach Inn","488","923","924","920","923","2014","Firefox","31.0.0.5310","1","107","","0","1","1445",
"09/09/2014","20:49:09","","http://nwtn.ca/nagw_demo/index-optimized_responsive_lazy.html","813","297","","3752","185624","2","4","8","8","0","0","0","0","0","994","","","","1664","","","","","0","","","2","0","813","","","1","6","0","-1","100","-1","100","-1","-1","100","2689","43490","2","4","5","5","0","0","0","0","-1","","","-1","","","","297","200","150135","0","","","0","0","0","1","","76","","Newton Beach Inn","388","814","815","811","814","1915","Firefox","31.0.0.5310","1","106","","0","2","1411",
"09/09/2014","20:49:50","","http://nwtn.ca/nagw_demo/index-optimized_responsive_lazy.html","853","329","","3752","185625","2","4","8","8","0","0","0","0","0","993","","","","1695","","","","","0","","","2","0","853","","","1","6","0","-1","100","-1","100","-1","-1","100","2689","43491","2","4","5","5","0","0","0","0","-1","","","-1","","","","329","200","150135","0","","","0","0","0","1","","76","","Newton Beach Inn","387","855","855","851","854","1994","Firefox","31.0.0.5310","1","107","","0","3","1224",
